PredictionString,image_id
0 0.18290742 324.9426 568.1705 386.60696 621.93207 0 0.16959226 474.70508 591.8313 564.0836 670.18164 0 0.10976597 214.81448 694.3521 251.60876 734.0717 0 0.09815896 498.99423 598.42303 544.55145 646.03925 0 0.096717685 365.9115 599.5308 402.4599 641.7966 0 0.09642193 169.71011 426.06174 203.5427 450.04898 0 0.07157002 323.08472 556.39 445.6585 625.6102 0 0.05899136 151.53258 421.29865 203.98439 454.44733 0 0.05796182 639.8307 252.98015 727.49756 345.78067 0 0.055210385 480.8356 599.79297 504.8652 658.4785 0 0.053071752 361.5442 569.64294 406.40308 650.09106 1 0.99803275 559.47003 108.328964 763.2697 365.6701 1 0.29529646 639.67474 156.62122 759.66266 348.6308 1 0.1771394 674.6692 259.36905 727.93494 316.79025 1 0.11627944 389.1908 681.9801 424.38672 720.9547 1 0.066166565 643.3563 254.37036 735.2167 344.4549 1 0.06073016 698.64044 111.83307 764.7431 343.0377 1 0.056752488 480.51025 597.31964 575.2228 661.1069 2 0.092559084 325.65625 640.99365 355.7561 683.088 5 0.92552084 341.21622 637.97 397.6191 722.63403 5 0.65654635 243.9883 684.56976 301.49207 747.9964 5 0.6391925 326.70773 617.9906 470.05917 749.3624 5 0.53812534 326.01544 640.66473 355.50037 683.3145 5 0.5077678 388.22937 612.4607 466.56232 727.43274 5 0.44348708 561.95764 605.57324 597.8119 646.17883 5 0.37180883 457.27817 596.5522 581.99817 676.4427 5 0.34997883 368.7995 556.15106 448.03253 629.4217 5 0.27644193 674.8751 259.6374 727.3181 316.35876 5 0.23485145 324.49176 673.0432 457.81555 745.2345 5 0.22290929 510.2386 650.80505 533.21906 688.16174 5 0.21528907 424.69666 449.5808 569.90314 679.7296 5 0.17774616 484.99323 596.7126 571.315 653.6578 5 0.17702182 449.06995 726.3248 487.6928 873.3262 5 0.17652519 322.12927 565.48456 415.9095 621.92084 5 0.17201823 388.3029 681.86316 424.29922 721.27 5 0.15718867 561.3841 610.9314 581.79816 647.35535 5 0.14335462 512.0167 649.1091 553.30554 683.23566 5 0.1335594 413.81522 613.12683 470.76413 700.0172 5 0.09150605 373.42944 675.155 438.42395 726.4751 5 0.08718656 410.6134 553.90985 449.346 616.02716 5 0.08665023 546.2638 608.36255 588.9668 644.5365 5 0.08421347 558.0841 603.39764 628.5137 645.8212 5 0.08242658 498.74582 599.0901 549.7084 644.57715 5 0.06358144 389.4292 643.1767 436.1977 723.1142 5 0.060101848 472.22028 643.90814 560.3912 685.47906 5 0.058304608 368.08633 597.9626 402.31815 638.39874 5 0.05220919 373.56793 570.7482 410.482 609.93036 5 0.050150067 355.64484 654.16907 434.4442 733.05054 6 0.5460315 422.55194 443.51703 570.6229 679.6713 6 0.44640076 243.92255 684.587 301.1784 748.12115 6 0.24159825 325.70926 640.5024 355.51077 683.4709 6 0.09423138 444.0692 596.45264 592.97107 680.1488 7 0.999843 214.89624 49.715317 456.8578 467.65118 7 0.9997919 602.514 524.58093 955.0673 1023.81226 7 0.99966764 117.816246 425.30368 332.80112 715.167 7 0.9992994 647.2983 333.43567 880.9216 613.37897 7 0.9991192 390.56708 188.50471 604.6328 529.54114 7 0.9979278 445.93527 594.2054 645.91254 877.0754 7 0.99750715 546.4335 332.1089 711.0298 601.68463 7 0.9757817 255.22058 417.74814 426.8479 602.57196 7 0.4635845 497.01965 597.7424 554.4475 643.4598 7 0.29409984 324.82947 568.40955 386.29926 621.1727 7 0.26569292 322.51447 556.30585 447.51892 626.26117 7 0.25769585 542.24786 182.42868 577.08075 237.07877 7 0.24115424 151.53258 421.29865 203.98439 454.44733 7 0.21058062 382.987 609.952 466.69202 732.66284 7 0.14268634 480.51025 597.31964 575.2228 661.1069 7 0.11636241 326.6496 617.19867 470.2802 749.16144 7 0.08813718 169.28432 425.69046 203.71999 450.46097 7 0.06880682 449.06995 726.3248 487.6928 873.3262 7 0.052589998 358.73294 665.6305 446.12436 735.275 7 0.050519913 387.14728 682.1113 424.6621 721.16235 ,test/0000.jpg
4 0.9991505 345.66077 235.8098 760.11646 696.08545 5 0.9236571 131.31038 0.0 496.78455 280.24548 5 0.10154052 345.90717 236.20912 757.53424 695.5171 6 0.78246415 757.6055 660.55334 900.2675 991.5006 ,test/0001.jpg
0 0.9339217 317.8668 322.5428 1014.2046 494.05487 0 0.90989584 871.05084 457.84445 1024.0 632.6793 0 0.78281164 125.108086 300.58185 245.85562 603.68976 0 0.7361178 246.9527 279.0715 428.4746 589.8429 0 0.61685437 337.65366 325.7007 979.3268 373.28354 0 0.47653 823.68085 793.8887 876.91046 938.306 0 0.46326944 150.6406 282.96857 343.8328 595.29504 0 0.27330703 299.61996 333.42535 990.1189 404.77887 0 0.16551477 365.3956 345.48398 1011.3535 368.4542 0 0.11832285 768.3422 227.94685 864.72736 238.99718 0 0.05735329 658.998 285.22888 738.0201 326.2063 0 0.055129986 659.54004 224.8836 1018.7013 549.01117 0 0.05374883 255.66452 272.96542 317.32352 544.4857 0 0.053510137 350.40808 288.38284 1014.82996 378.9888 0 0.053024966 292.20056 319.86554 994.8678 724.5754 1 0.9979 777.98224 411.9322 1024.0 1024.0 1 0.99510443 288.59558 329.91614 976.131 739.3086 1 0.9655736 420.51297 266.67606 643.7219 328.1617 1 0.94332486 88.66971 269.68243 426.25717 605.3166 1 0.6984118 683.5798 226.74359 1024.0 370.63367 1 0.55767035 678.118 229.4411 791.9755 324.73657 1 0.5033616 92.41094 291.39832 256.83798 611.3755 1 0.45216691 974.5698 231.66663 1024.0 249.3248 1 0.40977836 658.76746 285.29315 737.99854 326.18195 1 0.40763107 767.65454 227.4111 864.677 237.8934 1 0.3364122 970.3976 228.9873 1024.0 281.92657 1 0.23770867 323.114 456.7489 808.0249 733.33887 1 0.17091648 974.05444 227.7203 1024.0 236.50037 1 0.12061072 343.93222 227.44565 1024.0 480.61093 1 0.120099835 718.61694 320.2997 959.00037 348.53195 1 0.089859426 339.73343 320.2062 998.50134 369.32455 1 0.08966817 647.27075 218.35916 1024.0 524.75195 1 0.07830382 249.12555 271.10382 417.46472 594.8656 1 0.072552964 145.49435 294.20065 322.00125 597.27527 1 0.07154881 1.9414368 237.04454 143.50002 463.4347 1 0.061095927 1002.18933 226.26538 1024.0 295.50922 1 0.054389495 459.40186 503.9357 817.12854 657.2042 1 0.052519344 233.7739 532.1587 325.70383 592.3312 1 0.05107011 641.632 298.92114 976.37616 364.11316 2 0.82434356 678.939 230.08447 790.98114 323.82257 3 0.2855777 1.9190292 237.18198 143.58261 463.78464 4 0.99478453 868.31104 244.76318 915.09656 326.72925 4 0.8461826 992.4651 304.6219 1023.50757 396.8553 4 0.12282343 1005.5169 321.91592 1023.8216 401.33286 5 0.33748037 1002.3422 308.97385 1023.9317 332.70657 7 0.14868891 767.65454 227.4111 864.677 237.8934 7 0.10746661 1.9190292 237.18198 143.58261 463.78464 7 0.0878244 971.8718 231.80893 1024.0 248.85355 7 0.058013495 1002.20215 306.79398 1024.0 332.3162 ,test/0002.jpg
9 0.99997246 160.58005 263.42593 914.73584 812.35657 9 0.66058993 250.15317 719.5273 1023.30676 1021.9538 9 0.6172037 0.0 0.0 1013.4305 1024.0 9 0.09847603 147.36133 268.5055 290.2354 427.43 9 0.09359834 201.01834 384.9836 1020.9358 1024.0 ,test/0003.jpg
0 0.8181512 431.5225 409.63165 659.5421 564.3664 1 0.99913186 213.63889 245.94028 862.0781 768.13477 1 0.2347707 195.46103 324.86823 676.2063 665.5631 1 0.08017527 377.8976 385.4439 689.9321 646.64703 9 0.3065766 426.6117 409.65274 660.1266 568.8792 ,test/0004.jpg
2 0.9999584 354.2569 224.33644 778.1374 704.9399 ,test/0005.jpg
0 0.8897436 897.68744 785.8207 1024.0 915.8412 3 0.7637039 0.0 53.671776 69.538155 220.64981 4 0.99887055 425.28284 16.56276 657.5834 277.45587 4 0.5015759 356.61035 446.5309 843.7886 722.50366 4 0.07749788 59.264557 376.18536 221.79318 752.9924 5 0.9197556 356.8261 446.81482 845.2935 722.6459 5 0.6509391 0.0 53.67279 70.006226 220.93927 5 0.108312 58.96395 373.88263 221.298 754.8288 7 0.29292184 287.94196 2.0394516 417.0431 174.06091 ,test/0006.jpg
0 0.5798916 3.9459229 110.51782 1015.37976 1009.98975 0 0.47872406 305.3592 12.908569 1021.4307 670.1646 0 0.3231952 3.5083008 545.0697 354.43335 1024.0 0 0.29174948 0.0 491.6557 1000.6453 938.0793 0 0.17907411 769.41376 86.282814 859.3973 187.99219 0 0.13339844 334.42508 89.73869 864.5116 243.1267 0 0.09281319 310.43045 16.372162 1016.3878 345.44565 0 0.051647637 331.7724 122.14972 750.5031 720.8667 1 0.99914014 882.4087 892.8895 1021.4586 1024.0 1 0.62293255 210.92032 891.30927 592.5774 1021.10333 1 0.6068811 73.518005 79.96341 978.35065 920.12024 1 0.5175892 0.0 864.5351 23.94453 1024.0 1 0.43852124 358.19806 890.07855 546.88306 1024.0 1 0.40093958 67.97159 463.62357 950.27014 898.12195 1 0.27527964 325.28506 93.14845 835.7522 245.51674 1 0.16271392 317.92963 95.749054 877.61554 738.87476 1 0.15763138 218.00388 895.06616 376.85 1024.0 1 0.055161413 333.6142 115.495415 803.74384 189.55643 5 0.1600318 121.44495 54.80356 969.3573 854.5868 5 0.11993279 532.3949 63.611176 1007.1488 582.83276 7 0.30044734 46.912415 35.272064 998.4661 960.52136 7 0.24518634 0.0 864.4915 23.975712 1024.0 7 0.15564969 555.4293 45.072754 1010.9546 586.24927 7 0.065976396 319.3261 34.539948 937.56586 732.1763 9 0.8644716 332.77808 99.778595 857.9802 728.306 9 0.4241439 607.9082 96.04402 999.27905 579.1693 9 0.08980834 104.87909 16.771667 1004.3498 906.6547 9 0.050435737 551.79205 483.95853 898.3212 737.49036 ,test/0007.jpg
0 0.99535596 105.12449 905.38086 170.3483 970.8367 1 0.98417825 640.00916 636.5034 720.6979 763.4684 1 0.50242794 152.86185 571.73615 202.1359 658.7686 1 0.112976484 366.2982 549.80426 392.8718 578.31744 1 0.066853106 146.08942 510.86395 268.3687 668.2985 1 0.05410624 631.1794 539.1039 720.2243 781.85986 5 0.303311 771.6968 282.648 980.9905 617.04834 5 0.1460034 659.3496 454.6913 817.8037 624.5708 5 0.133036 366.2982 549.80426 392.8718 578.31744 5 0.07297966 603.12006 343.43848 740.6751 473.1637 5 0.056457873 259.8563 552.2068 306.3049 680.8413 6 0.9042261 773.80945 281.52954 980.40955 615.8452 6 0.11312064 659.7465 455.5022 818.1109 620.98145 6 0.06335738 360.03012 499.66476 438.83878 579.8125 7 0.9997129 163.23398 530.2056 464.2872 960.82477 7 0.9994886 394.11908 463.11093 680.642 875.32947 7 0.999148 690.0582 531.01904 785.7671 694.5239 7 0.99866676 1.9100266 612.1798 182.27588 871.7888 7 0.99780566 2.3661041 359.69177 271.80402 639.5068 7 0.9935061 549.36865 426.2566 708.26013 625.20337 7 0.98004454 359.6856 495.8521 471.02032 696.2673 7 0.91970944 228.42874 490.74728 328.9163 557.4888 7 0.48229238 152.90166 571.8825 203.33604 659.28217 7 0.47046518 349.8394 121.49167 420.74136 222.51096 7 0.17135784 150.72168 493.46625 330.8073 668.3831 7 0.16851366 180.68552 491.72073 326.27563 589.66077 7 0.16336267 144.37416 648.6421 180.60448 726.2545 7 0.13733359 514.9811 432.24033 809.8165 678.35425 7 0.12072084 148.388 535.9082 253.3357 667.2699 7 0.11005037 664.57837 454.15717 816.9236 630.92487 7 0.09508787 226.75403 493.04593 283.5425 544.4706 7 0.076380394 366.2982 549.80426 392.8718 578.31744 7 0.05285258 359.54623 499.33417 450.95804 616.62274 ,test/0008.jpg
0 0.99984 297.4065 117.58545 658.6048 976.89087 ,test/0009.jpg
