,PredictionString,image_id
0,1 0.4557127356529236 430.25323486328125 467.28741455078125 560.9767456054688 683.6543579101562 1 0.38391032814979553 567.241943359375 104.24713897705078 775.6563720703125 360.1954345703125 1 0.37628328800201416 628.606201171875 174.62095642089844 741.994140625 343.26171875 1 0.3699800372123718 582.5570068359375 231.8511505126953 757.0367431640625 359.11077880859375 1 0.33679279685020447 571.6682739257812 343.5345458984375 704.9293823242188 583.6600341796875 1 0.25278937816619873 485.4888000488281 606.4307861328125 508.2255554199219 658.2537841796875 1 0.2170751392841339 162.50067138671875 362.0484619140625 248.85073852539062 447.0521240234375 2 0.29096725583076477 328.8383483886719 639.3768920898438 352.0372619628906 683.2788696289062 5 0.4799354374408722 342.6630859375 642.5333251953125 395.580078125 725.5963134765625 5 0.45675399899482727 244.441650390625 683.950927734375 302.322998046875 747.256591796875 5 0.3265836536884308 216.30593872070312 693.5819091796875 253.36727905273438 731.339599609375 5 0.314514696598053 430.96136474609375 469.444580078125 577.2109375 682.8062744140625 5 0.2820199131965637 499.8282470703125 597.1695556640625 553.7535400390625 643.594482421875 5 0.2435600608587265 505.37322998046875 645.379150390625 552.0438842773438 695.8173828125 5 0.216702401638031 329.5225830078125 639.4794921875 352.3660888671875 682.632080078125 5 0.19793610274791718 394.9324951171875 611.71435546875 450.81585693359375 684.901611328125 5 0.16331343352794647 387.21392822265625 681.8217163085938 426.53143310546875 721.3383178710938 7 0.49129432439804077 602.497802734375 515.200927734375 956.717041015625 1023.8887939453125 7 0.4897945821285248 216.9074249267578 51.838165283203125 454.98919677734375 471.9718322753906 7 0.4887903332710266 118.95365905761719 422.87310791015625 331.62396240234375 709.2910766601562 7 0.48483794927597046 651.0616455078125 335.41986083984375 878.9359130859375 599.1344604492188 7 0.4835667312145233 448.1583251953125 597.347900390625 650.4915771484375 873.5479736328125 7 0.48222091794013977 390.54766845703125 187.29647827148438 598.4524536132812 543.8175048828125 7 0.46827232837677 548.004150390625 310.37664794921875 785.1593017578125 603.1302490234375 7 0.462490439414978 250.23382568359375 405.6281433105469 471.28961181640625 746.4461669921875 7 0.31258612871170044 544.6199951171875 341.92633056640625 706.6514892578125 604.54296875 7 0.14509311318397522 323.6493225097656 569.017333984375 380.9618225097656 619.71533203125 ,test/0000.jpg
1,5 0.49076470732688904 344.4927062988281 251.2513427734375 752.90380859375 696.3442993164062 5 0.41525402665138245 131.74655151367188 0.21160888671875 492.8796691894531 271.3368835449219 6 0.34360945224761963 765.1444091796875 665.56298828125 899.6617431640625 1003.58154296875 7 0.1467253714799881 130.86630249023438 0.181396484375 494.4516906738281 270.3390197753906 ,test/0001.jpg
2,0 0.44182443618774414 168.24337768554688 292.82928466796875 245.91104125976562 592.2144775390625 0 0.3856464922428131 464.77984619140625 512.1160278320312 812.8772583007812 664.1585083007812 0 0.33811309933662415 98.906982421875 293.1114501953125 249.61599731445312 597.572021484375 0 0.3374444246292114 271.0706787109375 280.5284423828125 307.22344970703125 462.0216064453125 0 0.177574023604393 365.1877136230469 339.880126953125 783.739990234375 416.8092041015625 0 0.17736484110355377 676.44140625 227.02099609375 867.555908203125 324.6649169921875 0 0.1502426564693451 0.9391021728515625 239.68409729003906 135.9427032470703 370.1817626953125 1 0.4877660274505615 777.6582641601562 404.68707275390625 1023.7090454101562 1022.3427124023438 1 0.48728707432746887 76.02613830566406 271.8236083984375 427.076416015625 603.5919799804688 1 0.4776395559310913 294.73199462890625 312.9371337890625 1024.0 746.9635009765625 1 0.4616052508354187 426.12713623046875 268.0193786621094 641.9005737304688 326.1792297363281 1 0.39017823338508606 677.558837890625 227.6605987548828 866.7696533203125 323.889892578125 1 0.36322909593582153 675.1015625 226.5999298095703 1023.080078125 351.50018310546875 1 0.3171970248222351 755.440185546875 228.010986328125 1023.63232421875 835.1243896484375 1 0.2719070315361023 659.7056884765625 288.5697021484375 736.94482421875 324.1695556640625 1 0.1822635978460312 754.359130859375 227.53955078125 1023.512451171875 559.190185546875 2 0.16439759731292725 677.3826293945312 226.90496826171875 868.2824096679688 324.02435302734375 4 0.43712496757507324 865.8902587890625 244.39466857910156 913.9437255859375 324.0477294921875 5 0.42980921268463135 865.7634887695312 244.06521606445312 914.2186889648438 323.0871887207031 ,test/0002.jpg
3,9 0.4844728112220764 146.26773071289062 261.562255859375 910.8431396484375 825.228271484375 9 0.31006038188934326 0.0 376.16766357421875 1024.0 1022.9928588867188 9 0.14085941016674042 80.23873901367188 17.8629150390625 1024.0 969.2254638671875 ,test/0003.jpg
4,0 0.4894721508026123 190.91464233398438 250.83444213867188 868.8214111328125 778.3251953125 7 0.3292666971683502 195.69692993164062 251.93331909179688 872.3924560546875 779.0419921875 9 0.44397544860839844 426.5450744628906 408.25445556640625 656.9232177734375 578.55859375 ,test/0004.jpg
5,2 0.48858198523521423 350.274169921875 225.3276824951172 782.703857421875 710.7217407226562 ,test/0005.jpg
6,3 0.34762993454933167 0.0 0.718597412109375 69.43220520019531 223.09881591796875 3 0.18617847561836243 601.8548583984375 0.26195526123046875 704.1903076171875 85.359375 4 0.22542014718055725 362.7608642578125 451.1695556640625 846.219970703125 723.6798095703125 5 0.4232555329799652 361.8399353027344 451.5553283691406 846.4384765625 723.9146728515625 5 0.4133862853050232 195.7244873046875 545.6824951171875 278.9056396484375 704.888427734375 5 0.22508929669857025 0.0242767333984375 4.9683380126953125 69.40603637695312 222.47952270507812 7 0.4761665463447571 896.77880859375 788.13330078125 1023.6707763671875 915.765869140625 7 0.45330169796943665 270.2383117675781 4.482154846191406 411.5599670410156 169.9410400390625 9 0.17275972664356232 0.046051025390625 379.2715148925781 302.2268981933594 947.02001953125 ,test/0006.jpg
7,0 0.42785629630088806 0.0245513916015625 540.1021728515625 289.667236328125 1022.8880615234375 0 0.416416198015213 290.1295166015625 547.9058837890625 1024.0 1024.0 0 0.2858147621154785 59.1309814453125 12.18768310546875 1006.746826171875 883.1605834960938 0 0.24808314442634583 772.60009765625 88.703857421875 875.13818359375 186.63568115234375 0 0.1640753298997879 370.444580078125 128.28616333007812 1024.0 1024.0 1 0.37558048963546753 886.0177001953125 891.5468139648438 1023.85009765625 1023.7987670898438 1 0.1961815357208252 49.5206298828125 154.2152099609375 1006.23779296875 962.096435546875 9 0.23945052921772003 99.02056884765625 91.09503173828125 1002.1889038085938 899.2398071289062 9 0.1294945329427719 333.933837890625 0.0418853759765625 1017.66650390625 180.36781311035156 ,test/0007.jpg
8,0 0.2874600887298584 105.31278991699219 906.3655395507812 170.54795837402344 971.2633666992188 0 0.1507112979888916 358.0098876953125 124.77832794189453 418.39825439453125 224.79669189453125 1 0.48365911841392517 644.8892211914062 637.3426513671875 720.0755004882812 760.7469482421875 3 0.14318107068538666 174.8113555908203 432.80035400390625 199.5742950439453 528.1259155273438 5 0.23308779299259186 542.6136474609375 424.7198486328125 700.7916259765625 606.3070068359375 5 0.16968688368797302 568.61279296875 479.61639404296875 655.289794921875 532.1329956054688 6 0.4763895869255066 773.039306640625 277.3084716796875 978.42578125 619.567138671875 6 0.4705408811569214 773.5787353515625 278.7812194824219 979.3048095703125 476.0343322753906 6 0.39915090799331665 797.2445678710938 433.4212646484375 965.4645385742188 618.0048828125 6 0.20036906003952026 774.3993530273438 425.6164855957031 966.3085327148438 536.4274291992188 7 0.48826390504837036 407.6807556152344 468.049072265625 688.4525146484375 871.9825439453125 7 0.4875107407569885 0.2915496826171875 360.90386962890625 271.73370361328125 635.5961303710938 7 0.486279159784317 168.9962615966797 529.1397705078125 468.01910400390625 961.695068359375 7 0.4861391484737396 0.6935653686523438 619.1654663085938 180.198974609375 878.4713745117188 7 0.4787226915359497 683.8916015625 529.8321533203125 791.192138671875 699.6195068359375 7 0.4671315848827362 153.68655395507812 492.3509826660156 334.67901611328125 667.7115478515625 7 0.4529919922351837 541.2259521484375 425.5589599609375 701.4219970703125 606.4874267578125 7 0.45194485783576965 360.1043701171875 497.826171875 483.3634033203125 686.3306884765625 7 0.4251996874809265 358.4173583984375 125.7913818359375 418.2237548828125 224.36346435546875 7 0.3899458944797516 357.6988525390625 0.2790374755859375 418.7188720703125 88.1947021484375 7 0.2854085862636566 218.87245178222656 491.1432189941406 333.0184326171875 559.32177734375 7 0.1403602659702301 355.37359619140625 498.4692077636719 467.24554443359375 893.681884765625 ,test/0008.jpg
9,0 0.3683740496635437 300.1396789550781 114.65521240234375 662.4268798828125 978.4813842773438 2 0.272722065448761 298.57525634765625 114.4466552734375 662.06884765625 980.21630859375 ,test/0009.jpg
