Filename,Bounding Box Count,Class Count,Classes
train/0000.jpg,1,1,General trash
train/0001.jpg,8,5,"General trash, Glass, Metal, Plastic, Plastic bag"
train/0002.jpg,1,1,Metal
train/0003.jpg,2,2,"Paper pack, Styrofoam"
train/0004.jpg,6,2,"General trash, Paper"
train/0005.jpg,22,4,"General trash, Paper, Plastic, Plastic bag"
train/0006.jpg,1,1,Paper
train/0007.jpg,2,1,Clothing
train/0008.jpg,7,3,"General trash, Plastic bag, Styrofoam"
train/0009.jpg,1,1,Paper pack
train/0010.jpg,1,1,General trash
train/0011.jpg,1,1,General trash
train/0012.jpg,3,1,Paper
train/0013.jpg,16,5,"Metal, Paper, Plastic, Plastic bag, Styrofoam"
train/0014.jpg,5,3,"Clothing, Metal, Plastic bag"
train/0015.jpg,3,2,"Metal, Styrofoam"
train/0016.jpg,1,1,Styrofoam
train/0017.jpg,1,1,General trash
train/0018.jpg,11,3,"Metal, Plastic bag, Styrofoam"
train/0019.jpg,10,5,"General trash, Metal, Paper, Paper pack, Plastic bag"
train/0020.jpg,1,1,Plastic bag
train/0021.jpg,10,1,Plastic bag
train/0022.jpg,2,1,Metal
train/0023.jpg,1,1,General trash
train/0024.jpg,1,1,General trash
train/0025.jpg,1,1,General trash
train/0026.jpg,2,1,Clothing
train/0027.jpg,3,2,"General trash, Plastic"
train/0028.jpg,4,3,"General trash, Paper pack, Plastic"
train/0029.jpg,5,2,"General trash, Glass"
train/0030.jpg,1,1,General trash
train/0031.jpg,3,2,"General trash, Metal"
train/0032.jpg,14,5,"General trash, Metal, Plastic, Plastic bag, Styrofoam"
train/0033.jpg,2,1,Clothing
train/0034.jpg,1,1,Plastic bag
train/0035.jpg,1,1,Paper pack
train/0036.jpg,3,2,"Paper, Plastic bag"
train/0037.jpg,1,1,General trash
train/0038.jpg,14,3,"Paper, Plastic, Plastic bag"
train/0039.jpg,1,1,Paper pack
train/0040.jpg,1,1,General trash
train/0041.jpg,4,3,"General trash, Plastic bag, Styrofoam"
train/0042.jpg,22,6,"General trash, Paper, Paper pack, Plastic, Plastic bag, Styrofoam"
train/0043.jpg,3,2,"General trash, Plastic bag"
train/0044.jpg,3,3,"Metal, Paper pack, Plastic bag"
train/0045.jpg,19,5,"General trash, Paper, Plastic, Plastic bag, Styrofoam"
train/0046.jpg,2,2,"General trash, Plastic bag"
train/0047.jpg,1,1,General trash
train/0048.jpg,1,1,General trash
train/0049.jpg,2,1,General trash
train/0050.jpg,1,1,Plastic
train/0051.jpg,13,4,"General trash, Paper, Plastic bag, Styrofoam"
train/0052.jpg,1,1,Plastic
train/0053.jpg,4,1,Plastic bag
train/0054.jpg,8,3,"General trash, Paper, Plastic bag"
train/0055.jpg,16,3,"General trash, Paper, Plastic bag"
train/0056.jpg,10,4,"General trash, Paper, Paper pack, Plastic"
train/0057.jpg,2,2,"General trash, Paper"
train/0058.jpg,1,1,General trash
train/0059.jpg,1,1,Metal
train/0060.jpg,1,1,Plastic
train/0061.jpg,1,1,Metal
train/0062.jpg,28,5,"General trash, Glass, Paper, Plastic, Plastic bag"
train/0063.jpg,2,1,Paper pack
train/0064.jpg,1,1,Metal
train/0065.jpg,11,3,"General trash, Plastic bag, Styrofoam"
train/0066.jpg,1,1,Paper
train/0067.jpg,5,2,"Paper, Plastic bag"
train/0068.jpg,3,2,"General trash, Plastic bag"
train/0069.jpg,1,1,Paper pack
train/0070.jpg,12,5,"General trash, Metal, Paper, Plastic, Plastic bag"
train/0071.jpg,2,2,"General trash, Metal"
train/0072.jpg,2,2,"Paper, Paper pack"
train/0073.jpg,2,1,Plastic bag
train/0074.jpg,7,3,"Paper, Plastic, Plastic bag"
train/0075.jpg,1,1,Paper pack
train/0076.jpg,2,2,"General trash, Plastic bag"
train/0077.jpg,8,1,Paper
train/0078.jpg,2,2,"Paper, Styrofoam"
train/0079.jpg,1,1,General trash
train/0080.jpg,1,1,Plastic
train/0081.jpg,1,1,Plastic bag
train/0082.jpg,3,2,"General trash, Plastic"
train/0083.jpg,4,2,"Plastic bag, Styrofoam"
train/0084.jpg,1,1,General trash
train/0085.jpg,8,3,"General trash, Paper, Plastic"
train/0086.jpg,1,1,Paper
train/0087.jpg,1,1,Plastic
train/0088.jpg,16,4,"General trash, Paper, Plastic bag, Styrofoam"
train/0089.jpg,5,2,"General trash, Paper"
train/0090.jpg,1,1,Metal
train/0091.jpg,2,1,Plastic
train/0092.jpg,2,1,Battery
